group,bmi_min,bmi_max,T_g,n_weight
1,23.7576810925,29.13631634,11.750000000000025,26.0
2,29.14835810350105,33.90039448,11.950000000000028,177.0
3,33.984375,45.92884948,12.550000000000036,64.0
